# Tarea,Fase,ID Tarea,Dependencias,Descripcion Detallada,Días Laborales (a 6:45h/día),Días (a 3h/día),Horas Tarea,% Peso,% Avance Acumulado,% Real Avance,Estado,Responsable,Comentarios,Fecha Inicio Baseline,Fecha Entrega Baseline,Fecha Inicio Real,Fecha Entrega Real,Dificultad,Varianza (Días)
1,1: Configuracion y Planificacion del Proyecto,T001,Ninguna,"Analizar requisitos del sistema legado SICNP, definir requerimientos funcionales/no funcionales basados en PRP existente, crear Plan de Requisitos del Producto identificando puntos de integración con WIZDOM/SIFCNP. Usar docs/PRP_Justificacion_Marcas.md como base.",2.67,6.00,18.00,2.50%,2.50%,100.00%,Completado,Raul Ortega,Requisitos definidos segun PRP,06/10/2025,08/10/2025,06/10/2025,14/10/2025,Media/Alta,6.00
2,1: Configuracion y Planificacion del Proyecto,T002,T001,"Diseñar arquitectura en 3 capas .NET (API/Application/Domain/Infrastructure), definir esquema BD con relaciones, planear estructura frontend HTML/CSS/JS, diseñar contratos API y flujos de datos. Basado en backend/src/IntegradorMarcas.Api/.",4.15,9.33,28.00,3.89%,6.39%,100.00%,Completado,Raul Ortega,Arquitectura documentada,09/10/2025,14/10/2025,15/10/2025,28/10/2025,Alta,14.00
3,1: Configuracion y Planificacion del Proyecto,T003,T002,"Evaluar .NET 8, SQL Server 2019, HTML/CSS/JS; configurar entorno de desarrollo; configurar control de versiones básico. Usar .slnx y archivos existentes.",0.59,1.33,4.00,0.56%,6.94%,100.00%,Completado,Raul Ortega,Entorno configurado,15/10/2025,16/10/2025,29/10/2025,31/10/2025,Baja,15.00
4,1: Configuracion y Planificacion del Proyecto,T004,T003,"Crear estructura de solución y proyectos, configurar inyección de dependencias y middleware básico, inicializar estructura HTML/CSS. Basado en backend/ y frontend app.js.",1.78,4.00,12.00,1.67%,8.61%,100.00%,Completado,Raul Ortega,Estructura inicial lista,17/10/2025,21/10/2025,03/11/2025,10/11/2025,Media,20.00
5,2: Desarrollo de Base de Datos,T005,T004,"Crear BD INTEGRA_CNP, implementar todas las tablas (Usuarios, Justificaciones, Catálogos), configurar esquemas (Configuracion, Operacion), crear relaciones FK y restricciones. Usar db/ scripts SQL existentes.",4.15,9.33,28.00,3.89%,12.50%,100.00%,Completado,Raul Ortega,BD creada y validada,22/10/2025,31/10/2025,11/11/2025,26/11/2025,Alta,26.00
6,2: Desarrollo de Base de Datos,T006,T005,"Implementar tablas de Roles, Estados, TipoJustificacion; crear catálogos EstadoRegistro y auditoría; poblar datos semilla; validar integridad referencial. Basado en db/seed scripts.",1.78,4.00,12.00,1.67%,14.17%,100.00%,Completado,Raul Ortega,Catálogos poblados,03/11/2025,06/11/2025,27/11/2025,04/12/2025,Media,28.00
7,2: Desarrollo de Base de Datos,T007,T006,"Crear índices de rendimiento, optimizar consultas para flujos de aprobación, configurar tablas de auditoría, probar restricciones y triggers. Usar db/fix scripts.",3.56,8.00,24.00,3.33%,17.50%,100.00%,Completado,Raul Ortega,Optimizaciones aplicadas,07/11/2025,12/11/2025,05/12/2025,17/12/2025,Alta,35.00
8,2: Desarrollo de Base de Datos,T008,T007,"Diseñar patrones de acceso de solo lectura a WIZDOM, crear procedimientos de sincronización de usuarios, configurar acceso a datos históricos SIFCNP, implementar mapeo y transformación. Basado en db/WIZDOM mappings.",4.15,9.33,28.00,3.89%,21.39%,100.00%,Completado,Raul Ortega,Integraciones configuradas,13/11/2025,18/11/2025,18/12/2025,07/01/2026,Alta,50.00
9,3: Desarrollo Core Backend,T009,T008,"Crear entidades de dominio y objetos de valor, implementar reglas de negocio y constantes, definir interfaces de servicios de dominio. Usar backend/src/IntegradorMarcas.Domain/.",3.56,8.00,24.00,3.33%,24.72%,100.00%,Completado,Raul Ortega,Dominio implementado,19/11/2025,21/11/2025,08/01/2026,16/01/2026,Alta,56.00
10,3: Desarrollo Core Backend,T010,T009,"Implementar repositorios Dapper, centralizar consultas SQL, configurar fábrica de conexiones BD, implementar gestión de transacciones. Usar backend/src/IntegradorMarcas.Infrastructure/.",4.15,9.33,28.00,3.89%,28.61%,100.00%,Completado,Raul Ortega,Infraestructura lista,24/11/2025,01/12/2025,19/01/2026,30/01/2026,Alta,60.00
11,3: Desarrollo Core Backend,T011,T010,"Implementar servicios de negocio, lógica de validación, configurar DTOs y contratos de aplicación, implementar reglas de negocio RN-01 a RN-11. Usar backend/src/IntegradorMarcas.Application/.",5.19,11.67,35.00,4.86%,33.47%,100.00%,Completado,Raul Ortega,Servicios implementados,02/12/2025,08/12/2025,02/02/2026,17/02/2026,Alta,71.00
12,3: Desarrollo Core Backend,T012,T011,"Crear JustificacionesController, implementar JefaturaController, crear controlador RRHH, configurar AdminAprobacionesController. Basado en backend/src/IntegradorMarcas.Api/Controllers/.",1.78,4.00,12.00,1.67%,35.14%,100.00%,Completado,Raul Ortega,Controladores API listos,09/12/2025,16/12/2025,18/02/2026,25/02/2026,Media,71.00
13,3: Desarrollo Core Backend,T013,T012,"Implementar autenticación basada en headers (X-User-Id/X-User-Role), configurar autorización basada en roles, configurar CORS y manejo de errores, agregar health checks y logging. Usar appsettings.json.",3.56,8.00,24.00,3.33%,38.47%,100.00%,Completado,Raul Ortega,Seguridad configurada,17/12/2025,23/12/2025,26/02/2026,10/03/2026,Alta,77.00
14,4: Desarrollo Frontend,T014,T013,"Configurar estructura HTML y navegación, implementar sistema de estilos CSS, crear estructura modular de JavaScript. Usar index.html, dashboard.html, style.css.",1.78,4.00,12.00,1.67%,40.14%,100.00%,Completado,Raul Ortega,Estructura frontend lista,24/12/2025,26/12/2025,11/03/2026,18/03/2026,Media,82.00
15,4: Desarrollo Frontend,T015,T014,"Construir interfaz de login, crear layouts de dashboard por rol, implementar componentes de formulario, configurar sistema de notificaciones/toast. Usar app.js y HTML existentes.",2.37,5.33,16.00,2.22%,42.36%,100.00%,Completado,Raul Ortega,UI core implementada,29/12/2025,01/01/2026,19/03/2026,27/03/2026,Media,85.00
16,4: Desarrollo Frontend,T016,T015,"Implementar cliente API con manejo de errores, configurar gestión de sesiones, crear lógica de obtención y caché de datos. Usar localStorage fallback.",4.15,9.33,28.00,3.89%,46.25%,100.00%,Completado,Raul Ortega,API integrada,02/01/2026,06/01/2026,30/03/2026,10/04/2026,Alta,94.00
17,4: Desarrollo Frontend,T017,T016,"Crear vistas Funcionario (creación e historial), Jefatura (aprobaciones pendientes), RRHH (consulta global con filtros). Basado en dashboard.html.",1.78,4.00,12.00,1.67%,47.92%,100.00%,Completado,Raul Ortega,Vistas por rol listas,07/01/2026,08/01/2026,13/04/2026,20/04/2026,Media,102.00
18,5: Integracion y Pruebas,T018,T017,"Conectar endpoints API al frontend, probar flujos end-to-end, depurar problemas de integración. Usar API existente y frontend.",3.56,8.00,24.00,3.33%,51.25%,100.00%,Completado,Raul Ortega,Integración completa,09/01/2026,13/01/2026,21/04/2026,24/04/2026,Alta,101.00
19,5: Integracion y Pruebas,T019,T018,"Escribir pruebas unitarias para servicios, probar repositorios y validación, implementar pruebas de controladores, configurar BD de pruebas. Usar tests/IntegradorMarcas.Tests/.",2.67,6.00,18.00,2.50%,53.75%,100.00%,Completado,Raul Ortega,Pruebas unitarias pasadas,14/01/2026,19/01/2026,27/04/2026,27/04/2026,Media/Alta,98.00
20,5: Integracion y Pruebas,T020,T019,"Probar flujos completos, validar permisos de rol, probar escenarios de error. Basado en pruebas existentes.",1.78,4.00,12.00,1.67%,55.42%,100.00%,Completado,Raul Ortega,Flujos integrados validados,20/01/2026,22/01/2026,28/04/2026,28/04/2026,Media,96.00
21,6: Funcionalidades Avanzadas y Refinamiento,T021,T020,"Implementar reglas de aprobación configurables, crear lógica de tabla Jerarquias_Aprobacion, construir algoritmos de resolución de jerarquía. Extender backend existente.",6.67,15.00,45.00,6.25%,61.67%,100.00%,Completado,Raul Ortega,"Jerarquía configurable implementada en BD, backend y consultas operativas; cobertura adicional queda en tareas posteriores",23/01/2026,30/01/2026,28/04/2026,28/04/2026,Muy Alta,88.00
22,6: Funcionalidades Avanzadas y Refinamiento,T022,T021,"Implementar Delegaciones_Aprobacion, crear interfaz de gestión de delegados, probar flujos de delegación. Agregar a API y frontend.",4.15,9.33,28.00,3.89%,65.56%,80.00%,En Progreso,Raul Ortega,"Delegaciones implementadas en BD, backend y UI admin básica; faltan cierres end to end y alinear borrado",02/02/2026,05/02/2026,29/04/2026,29/04/2026,Alta,83.00
23,6: Funcionalidades Avanzadas y Refinamiento,T023,T022,"Completar logging de eventos de auditoría, implementar dashboard de auditoría admin, agregar características de reporte de auditoría. Usar tablas de auditoría existentes.",2.37,5.33,16.00,2.22%,67.78%,75.00%,En Progreso,Raul Ortega,"Logging de errores y eventos persiste; panel admin de registros con filtros y exportación CSV; falta consolidar auditoría detallada",06/02/2026,10/02/2026,29/04/2026,29/04/2026,Media,78.00
24,6: Funcionalidades Avanzadas y Refinamiento,T024,T023,"Escribir manuales de usuario para todos los roles, crear documentación técnica, actualizar documentación de API. Basado en docs/ existentes.",1.78,4.00,12.00,1.67%,69.44%,70.00%,En Progreso,Raul Ortega,"Documentación técnica y operativa amplia, además de ayuda API; faltan manuales formales por rol",11/02/2026,12/02/2026,30/04/2026,30/04/2026,Media,77.00
25,6: Funcionalidades Avanzadas y Refinamiento,T025,T024,"Pruebas cross-browser, optimización de rendimiento, correcciones finales de errores y pulido. Validar con código actual.",1.78,4.00,12.00,1.67%,71.11%,35.00%,En Progreso,Raul Ortega,"Hay correcciones y pulido incremental; sin evidencia de pruebas cross-browser ni optimización formal de rendimiento",13/02/2026,16/02/2026,30/04/2026,30/04/2026,Media,73.00
