# ============================================================================
# CRONOGRAMA DE SEGUIMIENTO
# ============================================================================
# PROYECTO: Justificacion de Marcas
# RESPONSABLE UNIFICADO: Raul Ortega (todas las tareas).
# Costo en colones por hora de trabajo 3607.95,3607.95,,,,,,,,,,,,,,,,,,
# JORNADA: Lunes a Viernes de 06:00 hasta 15:00 menos 1:15h de alimentación,
# FECHA FIN BASELINE: 31/03/2026.
# ============================================================================
Fase,ID Tarea,# Tarea,Descripción Detallada,Días,Horas Tarea,% Progreso,Estado,Responsable,% Real Avance,Comentarios,Dependencias,Fecha Inicio Baseline,Fecha Fin Baseline,Fecha Inicio Real,Fecha Fin Real,Fecha Entrega Real,Varianza (Horas),Costo Estimado,Entregables
1: Configuracion y Planificacion del Proyecto,T001,1,"Analizar requisitos del sistema legado SICNP, definir requerimientos funcionales/no funcionales basados en PRP existente, crear Plan de Requisitos del Producto identificando puntos de integración con WIZDOM/SIFCNP. Usar docs/PRP_Justificacion_Marcas.md como base.",3,18,1.9%,Completado,Raul Ortega,100%,Requisitos definidos según PRP,Ninguna,06/10/2025,08/10/2025,06/10/2025,08/10/2025,08/10/2025,0,64943,Documento PRP completo
1: Configuracion y Planificacion del Proyecto,T002,2,"Diseñar arquitectura en 3 capas .NET (API/Application/Domain/Infrastructure), definir esquema BD con relaciones, planear estructura frontend HTML/CSS/JS, diseñar contratos API y flujos de datos. Basado en backend/src/IntegradorMarcas.Api/.",4,24,2.5%,Completado,Raul Ortega,100%,Arquitectura documentada,T001,09/10/2025,14/10/2025,09/10/2025,14/10/2025,14/10/2025,0,86591,Diagrama de arquitectura
1: Configuracion y Planificacion del Proyecto,T003,3,"Evaluar .NET 8, SQL Server 2019, HTML/CSS/JS; configurar entorno de desarrollo; configurar control de versiones básico. Usar .slnx y archivos existentes.",2,12,1.3%,Completado,Raul Ortega,100%,Entorno configurado,T002,15/10/2025,16/10/2025,15/10/2025,16/10/2025,16/10/2025,0,43295,Entorno de desarrollo listo
1: Configuracion y Planificacion del Proyecto,T004,4,"Crear estructura de solución y proyectos, configurar inyección de dependencias y middleware básico, inicializar estructura HTML/CSS. Basado en backend/ y frontend app.js.",3,18,1.9%,Completado,Raul Ortega,100%,Estructura inicial lista,T003,17/10/2025,21/10/2025,17/10/2025,21/10/2025,21/10/2025,0,64943,Proyecto base configurado
2: Desarrollo de Base de Datos,T005,5,"Crear BD INTEGRA_CNP, implementar todas las tablas (Usuarios, Justificaciones, Catálogos), configurar esquemas (Configuracion, Operacion), crear relaciones FK y restricciones. Usar db/ scripts SQL existentes.",8,48,5.1%,Completado,Raul Ortega,100%,BD creada y validada,T004,22/10/2025,31/10/2025,22/10/2025,31/10/2025,31/10/2025,0,173182,Esquema BD completo
2: Desarrollo de Base de Datos,T006,6,"Implementar tablas de Roles, Estados, TipoJustificacion; crear catálogos EstadoRegistro y auditoría; poblar datos semilla; validar integridad referencial. Basado en db/seed scripts.",4,24,2.5%,Completado,Raul Ortega,100%,Catálogos poblados,T005,03/11/2025,06/11/2025,03/11/2025,06/11/2025,06/11/2025,0,86591,Datos semilla insertados
2: Desarrollo de Base de Datos,T007,7,"Crear índices de rendimiento, optimizar consultas para flujos de aprobación, configurar tablas de auditoría, probar restricciones y triggers. Usar db/fix scripts.",4,24,2.5%,Completado,Raul Ortega,100%,Optimizaciones aplicadas,T006,07/11/2025,12/11/2025,07/11/2025,12/11/2025,12/11/2025,0,86591,Índices y triggers listos
2: Desarrollo de Base de Datos,T008,8,"Diseñar patrones de acceso de solo lectura a WIZDOM, crear procedimientos de sincronización de usuarios, configurar acceso a datos históricos SIFCNP, implementar mapeo y transformación. Basado en db/WIZDOM mappings.",4,24,2.5%,Completado,Raul Ortega,100%,Integraciones configuradas,T007,13/11/2025,18/11/2025,13/11/2025,18/11/2025,18/11/2025,0,86591,Vistas de integración
3: Desarrollo Core Backend,T009,9,"Crear entidades de dominio y objetos de valor, implementar reglas de negocio y constantes, definir interfaces de servicios de dominio. Usar backend/src/IntegradorMarcas.Domain/.",3,18,1.9%,Completado,Raul Ortega,100%,Dominio implementado,T008,19/11/2025,21/11/2025,19/11/2025,21/11/2025,21/11/2025,0,64943,Entidades de dominio
3: Desarrollo Core Backend,T010,10,"Implementar repositorios Dapper, centralizar consultas SQL, configurar fábrica de conexiones BD, implementar gestión de transacciones. Usar backend/src/IntegradorMarcas.Infrastructure/.",6,36,3.8%,Completado,Raul Ortega,100%,Infraestructura lista,T009,24/11/2025,01/12/2025,24/11/2025,01/12/2025,01/12/2025,0,129886,Repositorios implementados
3: Desarrollo Core Backend,T011,11,"Implementar servicios de negocio, lógica de validación, configurar DTOs y contratos de aplicación, implementar reglas de negocio RN-01 a RN-11. Usar backend/src/IntegradorMarcas.Application/.",5,30,3.2%,Completado,Raul Ortega,100%,Servicios implementados,T010,02/12/2025,08/12/2025,02/12/2025,08/12/2025,08/12/2025,0,108238,Servicios de negocio
3: Desarrollo Core Backend,T012,12,"Crear JustificacionesController, implementar JefaturaController, crear controlador RRHH, configurar AdminAprobacionesController. Basado en backend/src/IntegradorMarcas.Api/Controllers/.",6,36,3.8%,Completado,Raul Ortega,100%,Controladores API listos,T011,09/12/2025,16/12/2025,09/12/2025,16/12/2025,16/12/2025,0,129886,API endpoints
3: Desarrollo Core Backend,T013,13,"Implementar autenticación basada en headers (X-User-Id/X-User-Role), configurar autorización basada en roles, configurar CORS y manejo de errores, agregar health checks y logging. Usar appsettings.json.",5,30,3.2%,Completado,Raul Ortega,100%,Seguridad configurada,T012,17/12/2025,23/12/2025,17/12/2025,23/12/2025,23/12/2025,0,108238,Seguridad implementada
4: Desarrollo Frontend,T014,14,"Configurar estructura HTML y navegación, implementar sistema de estilos CSS, crear estructura modular de JavaScript. Usar index.html, dashboard.html, style.css.",3,18,1.9%,Completado,Raul Ortega,100%,Estructura frontend lista,T013,24/12/2025,26/12/2025,24/12/2025,26/12/2025,26/12/2025,0,64943,Estructura HTML/CSS
4: Desarrollo Frontend,T015,15,"Construir interfaz de login, crear layouts de dashboard por rol, implementar componentes de formulario, configurar sistema de notificaciones/toast. Usar app.js y HTML existentes.",4,24,2.5%,Completado,Raul Ortega,100%,UI core implementada,T014,29/12/2025,01/01/2026,29/12/2025,01/01/2026,01/01/2026,0,86591,Interfaz de usuario
4: Desarrollo Frontend,T016,16,"Implementar cliente API con manejo de errores, configurar gestión de sesiones, crear lógica de obtención y caché de datos. Usar localStorage fallback.",3,18,1.9%,Completado,Raul Ortega,100%,API integrada,T015,02/01/2026,06/01/2026,02/01/2026,06/01/2026,06/01/2026,0,64943,Cliente API
4: Desarrollo Frontend,T017,17,"Crear vistas Funcionario (creación e historial), Jefatura (aprobaciones pendientes), RRHH (consulta global con filtros). Basado en dashboard.html.",2,12,1.3%,Completado,Raul Ortega,100%,Vistas por rol listas,T016,07/01/2026,08/01/2026,07/01/2026,08/01/2026,08/01/2026,0,43295,Vistas específicas
5: Integracion y Pruebas,T018,18,"Conectar endpoints API al frontend, probar flujos end-to-end, depurar problemas de integración. Usar API existente y frontend.",3,18,1.9%,Completado,Raul Ortega,100%,Integración completa,T017,09/01/2026,13/01/2026,09/01/2026,13/01/2026,13/01/2026,0,64943,Integración end-to-end
5: Integracion y Pruebas,T019,19,"Escribir pruebas unitarias para servicios, probar repositorios y validación, implementar pruebas de controladores, configurar BD de pruebas. Usar tests/IntegradorMarcas.Tests/.",4,24,2.5%,Completado,Raul Ortega,100%,Pruebas unitarias pasadas,T018,14/01/2026,19/01/2026,14/01/2026,19/01/2026,19/01/2026,0,86591,Suite de pruebas unitarias
5: Integracion y Pruebas,T020,20,"Probar flujos completos, validar permisos de rol, probar escenarios de error. Basado en pruebas existentes.",3,18,1.9%,Completado,Raul Ortega,100%,Flujos integrados validados,T019,20/01/2026,22/01/2026,20/01/2026,22/01/2026,22/01/2026,0,64943,Validación de flujos
6: Funcionalidades Avanzadas y Refinamiento,T021,21,"Implementar reglas de aprobación configurables, crear lógica de tabla Jerarquias_Aprobacion, construir algoritmos de resolución de jerarquía. Extender backend existente.",6,36,3.8%,En Progreso,Raul Ortega,70%,"Jerarquía en desarrollo, proyección fin 15-04-26 (atraso 4 días)",T020,23/01/2026,30/01/2026,23/01/2026,15/04/2026,15/04/2026,4,129886,Sistema de jerarquía
6: Funcionalidades Avanzadas y Refinamiento,T022,22,"Implementar Delegaciones_Aprobacion, crear interfaz de gestión de delegados, probar flujos de delegación. Agregar a API y frontend.",4,24,3.2%,Bloqueada,Raul Ortega,0%,"Bloqueada: T021 fin proyectado 15-04. Debloqueo 15-04, inicio 16-04. Fin proyectado 20-04. Atraso cascada: 3 días vs baseline 17-04.",T021,02/02/2026,05/02/2026,16/04/2026,20/04/2026,20/04/2026,3,86591,Gestión de delegados
